Samples	N0	N1	N2	N3	N4	N5	N6	N7	N8
PD44889_25_branch_snp	0.000428378947368421	0.716679915789474	0.0285270736842105	0.233824252631579	0.000831242105263158	0.000389978947368421	0.0191536	0.000164968421052632	5.89473684210526e-07
PD44889_26_branch_snp	0.0115163789473684	0.741052884210526	0.00441103157894737	0.199743831578947	0.0153984842105263	0.00861103157894737	0.0189205052631579	0.000345178947368421	6.73684210526316e-07
PD44889_27_branch_snp	0.00434467564259486	0.663893268053856	0.00900269277845777	0.244060709914321	0.00608078335373317	0.00287197062423501	0.0651613219094247	0.00458261933904529	1.95838433292534e-06
PD44889_28_branch_snp	0.016936760505916	0.589352917176663	0.00771929824561403	0.266580171358629	0.0171374949000408	0.00347613219094247	0.0957666258669931	0.00302896776825785	1.63198694410445e-06
PD44889_29_branch_snp	0.000679578947368421	0.710381305263158	0.00338037894736842	0.224294315789474	0.00122661052631579	0.00693414736842105	0.0458287157894737	0.0072736	1.34736842105263e-06
PD44889_2_branch_snp	0.00301976399044378	0.732741909795121	0.00578846014623905	0.216830232389778	0.00730500253384493	0.000831390718888004	0.0329020487946138	0.000579743719684355	1.44791138782307e-06
PD44889_30_branch_snp	0.00274266646443197	0.699773820718944	0.00236529652661914	0.242475838010011	0.00993975428484757	0.000349825572576976	0.0381942059760352	0.0041578644016381	7.28044896101926e-07
PD44889_32_branch_snp	0.00193316624895572	0.749968253968254	0.00897577276524645	0.199899749373434	0.00574770258980785	0.00101921470342523	0.0315054302422723	0.000939014202172097	1.16959064327485e-05
PD44889_33_branch_snp	0.0002096	0.766831578947368	0.00428581052631579	0.195394442105263	0.000640505263157895	0.000171031578947368	0.0321050947368421	0.000361852631578947	8.42105263157895e-08
PD44889_38_branch_snp	0.000549052631578947	0.792528084210526	0.0215979789473684	0.154702736842105	0.00189423157894737	0.00159722105263158	0.0259769263157895	0.0011536	1.68421052631579e-07
PD44889_39_branch_snp	0.0100710736842105	0.755063747368421	0.0081658947368421	0.175769684210526	0.0130409263157895	0.00243233684210526	0.033586947368421	0.00186854736842105	8.42105263157895e-07
PD44889_3_branch_snp	0.00301159678858162	0.722863676911848	0.00824491119941611	0.193547644148893	0.021848998459168	0.000670505230719325	0.0458246695320736	0.00397826615846241	9.73157083772606e-06
PD44889_40_branch_snp	0.00248318790640805	0.592762518757294	0.00272950591896849	0.277476351914633	0.0551065414327794	0.00083899294169955	0.0661061523925971	0.00249230256210749	4.4461735119213e-06
PD44889_41_branch_snp	0.000663742690058479	0.695328216374269	0.00490570175438596	0.189655701754386	0.00275877192982456	0.000702485380116959	0.105318713450292	0.00066593567251462	7.30994152046784e-07
PD44889_44_branch_snp	0.00181020733652313	0.66250956937799	0.00481738437001595	0.189644338118022	0.0160701754385965	0.000789473684210526	0.121971291866029	0.00236443381180223	2.31259968102073e-05
PD44889_45_branch_snp	0.000826326450833363	0.654073136927396	0.00295902484096805	0.246421550161697	0.0158385159387327	0.000451757347453712	0.0784063399552223	0.00101951028821209	3.83808948434557e-06
